club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Leicester City,Islam Slimani,28,Centre-Forward,Sporting CP,£27.45m,in,Summer,27.45,Premier League,2016,2016/2017
Leicester City,Ahmed Musa,23,Left Winger,CSKA Moscow,£17.55m,in,Summer,17.55,Premier League,2016,2016/2017
Leicester City,Nampalys Mendy,24,Defensive Midfield,OGC Nice,£13.95m,in,Summer,13.95,Premier League,2016,2016/2017
Leicester City,Bartosz Kapustka,19,Attacking Midfield,Cracovia,£4.50m,in,Summer,4.5,Premier League,2016,2016/2017
Leicester City,Ron-Robert Zieler,27,Goalkeeper,Hannover 96,£3.15m,in,Summer,3.15,Premier League,2016,2016/2017
Arsenal FC,Granit Xhaka,23,Defensive Midfield,Bor. M'gladbach,£40.50m,in,Summer,40.5,Premier League,2016,2016/2017
Arsenal FC,Shkodran Mustafi,24,Centre-Back,Valencia,£36.90m,in,Summer,36.9,Premier League,2016,2016/2017
Arsenal FC,Lucas Pérez,27,Centre-Forward,Dep. La Coruña,£18.00m,in,Summer,18.0,Premier League,2016,2016/2017
Arsenal FC,Takuma Asano,21,Left Winger,Sanf. Hiroshima,£3.60m,in,Summer,3.6,Premier League,2016,2016/2017
Arsenal FC,Rob Holding,20,Centre-Back,Bolton,£2.70m,in,Summer,2.7,Premier League,2016,2016/2017
Tottenham Hotspur,Moussa Sissoko,27,Central Midfield,Newcastle,£31.50m,in,Summer,31.5,Premier League,2016,2016/2017
Tottenham Hotspur,Vincent Janssen,22,Centre-Forward,AZ Alkmaar,£19.80m,in,Summer,19.8,Premier League,2016,2016/2017
Tottenham Hotspur,Victor Wanyama,25,Defensive Midfield,Southampton,£12.96m,in,Summer,12.96,Premier League,2016,2016/2017
Tottenham Hotspur,Georges-Kevin N'Koudou,21,Left Winger,Marseille,£9.90m,in,Summer,9.9,Premier League,2016,2016/2017
Manchester City,John Stones,22,Centre-Back,Everton,£50.04m,in,Summer,50.04,Premier League,2016,2016/2017
Manchester City,Leroy Sané,20,Left Winger,FC Schalke 04,£46.80m,in,Summer,46.8,Premier League,2016,2016/2017
Manchester City,Ilkay Gündogan,25,Central Midfield,Bor. Dortmund,£24.30m,in,Summer,24.3,Premier League,2016,2016/2017
Manchester City,Nolito,29,Left Winger,Celta de Vigo,£16.20m,in,Summer,16.2,Premier League,2016,2016/2017
Manchester City,Claudio Bravo,33,Goalkeeper,FC Barcelona,£16.20m,in,Summer,16.2,Premier League,2016,2016/2017
Manchester City,Marlos Moreno,19,Left Winger,Atl. Nacional,£4.95m,in,Summer,4.95,Premier League,2016,2016/2017
Manchester City,Gero Rulli,24,Goalkeeper,Maldonado,£4.23m,in,Summer,4.23,Premier League,2016,2016/2017
Manchester City,Oleksandr Zinchenko,19,Left-Back,Ufa,£1.80m,in,Summer,1.8,Premier League,2016,2016/2017
Manchester United,Paul Pogba,23,Central Midfield,Juventus,£94.50m,in,Summer,94.5,Premier League,2016,2016/2017
Manchester United,Henrikh Mkhitaryan,27,Attacking Midfield,Bor. Dortmund,£37.80m,in,Summer,37.8,Premier League,2016,2016/2017
Manchester United,Eric Bailly,22,Centre-Back,Villarreal,£34.20m,in,Summer,34.2,Premier League,2016,2016/2017
Southampton FC,Sofiane Boufal,22,Left Winger,LOSC Lille,£16.83m,in,Summer,16.83,Premier League,2016,2016/2017
Southampton FC,Pierre-Emile Höjbjerg,20,Central Midfield,Bayern Munich,£13.50m,in,Summer,13.5,Premier League,2016,2016/2017
Southampton FC,Nathan Redmond,22,Left Winger,Norwich,£12.15m,in,Summer,12.15,Premier League,2016,2016/2017
Southampton FC,Alex McCarthy,26,Goalkeeper,Crystal Palace,£4.23m,in,Summer,4.23,Premier League,2016,2016/2017
West Ham United,André Ayew,26,Left Winger,Swansea,£21.69m,in,Summer,21.69,Premier League,2016,2016/2017
West Ham United,Manuel Lanzini,23,Attacking Midfield,Al-Jazira,£10.80m,in,Summer,10.8,Premier League,2016,2016/2017
West Ham United,Arthur Masuaku,22,Left-Back,Olympiacos,£6.39m,in,Summer,6.39,Premier League,2016,2016/2017
West Ham United,Edimilson Fernandes,20,Central Midfield,FC Sion,£5.76m,in,Summer,5.76,Premier League,2016,2016/2017
Liverpool FC,Sadio Mané,24,Left Winger,Southampton,£37.08m,in,Summer,37.08,Premier League,2016,2016/2017
Liverpool FC,Georginio Wijnaldum,25,Central Midfield,Newcastle,£24.75m,in,Summer,24.75,Premier League,2016,2016/2017
Liverpool FC,Loris Karius,23,Goalkeeper,1.FSV Mainz 05,£5.58m,in,Summer,5.58,Premier League,2016,2016/2017
Liverpool FC,Ragnar Klavan,30,Centre-Back,FC Augsburg,£4.50m,in,Summer,4.5,Premier League,2016,2016/2017
Stoke City,Joe Allen,26,Central Midfield,Liverpool,£13.95m,in,Summer,13.95,Premier League,2016,2016/2017
Stoke City,Ramadan Sobhi,19,Left Winger,El Ahly,£4.50m,in,Summer,4.5,Premier League,2016,2016/2017
Chelsea FC,Michy Batshuayi,22,Centre-Forward,Marseille,£35.10m,in,Summer,35.1,Premier League,2016,2016/2017
Chelsea FC,N'Golo Kanté,25,Central Midfield,Leicester,£32.22m,in,Summer,32.22,Premier League,2016,2016/2017
Chelsea FC,David Luiz,29,Centre-Back,Paris SG,£31.50m,in,Summer,31.5,Premier League,2016,2016/2017
Chelsea FC,Marcos Alonso,25,Left-Back,Fiorentina,£20.70m,in,Summer,20.7,Premier League,2016,2016/2017
Everton FC,Yannick Bolasie,27,Left Winger,Crystal Palace,£26.01m,in,Summer,26.01,Premier League,2016,2016/2017
Everton FC,Ashley Williams,31,Centre-Back,Swansea,£12.60m,in,Summer,12.6,Premier League,2016,2016/2017
Everton FC,Idrissa Gueye,26,Defensive Midfield,Aston Villa,£7.65m,in,Summer,7.65,Premier League,2016,2016/2017
Everton FC,Dominic Calvert-Lewin,19,Centre-Forward,Sheffield Utd.,£1.62m,in,Summer,1.62,Premier League,2016,2016/2017
Swansea City,Borja Bastón,23,Centre-Forward,Atlético Madrid,£16.20m,in,Summer,16.2,Premier League,2016,2016/2017
Swansea City,Fernando Llorente,31,Centre-Forward,Sevilla FC,£5.31m,in,Summer,5.31,Premier League,2016,2016/2017
Swansea City,Alfie Mawson,22,Centre-Back,Barnsley FC,£5.31m,in,Summer,5.31,Premier League,2016,2016/2017
Swansea City,Leroy Fer,26,Central Midfield,QPR,£5.04m,in,Summer,5.04,Premier League,2016,2016/2017
Swansea City,Mike van der Hoorn,23,Centre-Back,Ajax,£2.25m,in,Summer,2.25,Premier League,2016,2016/2017
Watford FC,Isaac Success,20,Left Winger,Granada CF,£13.50m,in,Summer,13.5,Premier League,2016,2016/2017
Watford FC,Roberto Pereyra,25,Attacking Midfield,Juventus,£12.15m,in,Summer,12.15,Premier League,2016,2016/2017
Watford FC,Sven Kums,28,Defensive Midfield,KAA Gent,£8.10m,in,Summer,8.1,Premier League,2016,2016/2017
Watford FC,Daryl Janmaat,27,Right-Back,Newcastle,£8.01m,in,Summer,8.01,Premier League,2016,2016/2017
Watford FC,Christian Kabasele,25,Centre-Back,KRC Genk,£6.26m,in,Summer,6.26,Premier League,2016,2016/2017
Watford FC,Stefano Okaka,27,Centre-Forward,RSC Anderlecht,£5.40m,in,Summer,5.4,Premier League,2016,2016/2017
Watford FC,Younès Kaboul,30,Centre-Back,Sunderland,£3.60m,in,Summer,3.6,Premier League,2016,2016/2017
Watford FC,Brice Dja Djédjé,25,Defensive Midfield,Marseille,£3.24m,in,Summer,3.24,Premier League,2016,2016/2017
West Bromwich Albion,Nacer Chadli,27,Left Winger,Spurs,£13.68m,in,Summer,13.68,Premier League,2016,2016/2017
West Bromwich Albion,Matt Phillips,25,Right Winger,QPR,£5.85m,in,Summer,5.85,Premier League,2016,2016/2017
West Bromwich Albion,Allan Nyom,28,Right-Back,Watford,£4.23m,in,Summer,4.23,Premier League,2016,2016/2017
Crystal Palace,Christian Benteke,25,Centre-Forward,Liverpool,£28.08m,in,Summer,28.08,Premier League,2016,2016/2017
Crystal Palace,Andros Townsend,24,Right Winger,Newcastle,£14.04m,in,Summer,14.04,Premier League,2016,2016/2017
Crystal Palace,James Tomkins,27,Centre-Back,West Ham,£10.53m,in,Summer,10.53,Premier League,2016,2016/2017
AFC Bournemouth,Jordon Ibe,20,Right Winger,Liverpool,£16.20m,in,Summer,16.2,Premier League,2016,2016/2017
AFC Bournemouth,Lewis Cook,19,Central Midfield,Leeds,£6.30m,in,Summer,6.3,Premier League,2016,2016/2017
AFC Bournemouth,Lys Mousset,20,Centre-Forward,AC Le Havre,£5.85m,in,Summer,5.85,Premier League,2016,2016/2017
AFC Bournemouth,Brad Smith,22,Left-Back,Liverpool,£3.24m,in,Summer,3.24,Premier League,2016,2016/2017
AFC Bournemouth,Marc Wilson,28,Centre-Back,Stoke City,£2.07m,in,Summer,2.07,Premier League,2016,2016/2017
Sunderland AFC,Didier Ndong,22,Central Midfield,FC Lorient,£18.00m,in,Summer,18.0,Premier League,2016,2016/2017
Sunderland AFC,Papy Djilobodji,27,Centre-Back,Chelsea,£8.55m,in,Summer,8.55,Premier League,2016,2016/2017
Sunderland AFC,Paddy McNair,21,Defensive Midfield,Man Utd,£4.73m,in,Summer,4.73,Premier League,2016,2016/2017
Sunderland AFC,Mika,25,Goalkeeper,Boavista,£1.35m,in,Summer,1.35,Premier League,2016,2016/2017
Sunderland AFC,Donald Love,21,Right-Back,Man Utd U23,£1.04m,in,Summer,1.04,Premier League,2016,2016/2017
Burnley FC,Jeff Hendrick,24,Central Midfield,Derby,£10.62m,in,Summer,10.62,Premier League,2016,2016/2017
Burnley FC,Steven Defour,28,Central Midfield,RSC Anderlecht,£7.74m,in,Summer,7.74,Premier League,2016,2016/2017
Burnley FC,Jóhann Berg Gudmundsson,25,Right Winger,Charlton,£2.70m,in,Summer,2.7,Premier League,2016,2016/2017
Burnley FC,Nick Pope,24,Goalkeeper,Charlton,£1.17m,in,Summer,1.17,Premier League,2016,2016/2017
Middlesbrough FC,Marten de Roon,25,Defensive Midfield,Atalanta,£9.45m,in,Summer,9.45,Premier League,2016,2016/2017
Middlesbrough FC,Adama Traoré,20,Right Winger,Aston Villa,£7.43m,in,Summer,7.43,Premier League,2016,2016/2017
Middlesbrough FC,Viktor Fischer,22,Left Winger,Ajax,£4.50m,in,Summer,4.5,Premier League,2016,2016/2017
Middlesbrough FC,Antonio Barragán,29,Right-Back,Valencia,£2.43m,in,Summer,2.43,Premier League,2016,2016/2017
Middlesbrough FC,Fábio,26,Right-Back,Cardiff,£2.07m,in,Summer,2.07,Premier League,2016,2016/2017
Hull City,Ryan Mason,25,Central Midfield,Spurs,£13.86m,in,Summer,13.86,Premier League,2016,2016/2017
Hull City,David Marshall,31,Goalkeeper,Cardiff,£3.69m,in,Summer,3.69,Premier League,2016,2016/2017
Hull City,Will Keane,23,Centre-Forward,Man Utd,£1.08m,in,Summer,1.08,Premier League,2016,2016/2017
Leicester City,Wilfred Ndidi,20,Defensive Midfield,KRC Genk,£15.84m,in,Winter,15.84,Premier League,2016,2016/2017
Manchester City,Gabriel Jesus,19,Centre-Forward,Palmeiras,£28.80m,in,Winter,28.8,Premier League,2016,2016/2017
Southampton FC,Manolo Gabbiadini,25,Centre-Forward,SSC Napoli,£15.30m,in,Winter,15.3,Premier League,2016,2016/2017
West Ham United,Robert Snodgrass,29,Right Winger,Hull City,£10.80m,in,Winter,10.8,Premier League,2016,2016/2017
West Ham United,José Fonte,33,Centre-Back,Southampton,£8.28m,in,Winter,8.28,Premier League,2016,2016/2017
Stoke City,Saido Berahino,23,Centre-Forward,West Brom,£12.51m,in,Winter,12.51,Premier League,2016,2016/2017
Stoke City,Lee Grant,33,Goalkeeper,Derby,£1.35m,in,Winter,1.35,Premier League,2016,2016/2017
Everton FC,Morgan Schneiderlin,27,Defensive Midfield,Man Utd,£20.70m,in,Winter,20.7,Premier League,2016,2016/2017
Everton FC,Ademola Lookman,19,Left Winger,Charlton,£7.92m,in,Winter,7.92,Premier League,2016,2016/2017
Swansea City,Jordan Ayew,25,Centre-Forward,Aston Villa,£5.22m,in,Winter,5.22,Premier League,2016,2016/2017
Swansea City,Tom Carroll,24,Central Midfield,Spurs,£4.68m,in,Winter,4.68,Premier League,2016,2016/2017
Swansea City,Luciano Narsingh,26,Right Winger,PSV Eindhoven,£4.14m,in,Winter,4.14,Premier League,2016,2016/2017
Swansea City,Martin Olsson,28,Left-Back,Norwich,£4.14m,in,Winter,4.14,Premier League,2016,2016/2017
Watford FC,Mauro Zárate,29,Centre-Forward,Fiorentina,£2.48m,in,Winter,2.48,Premier League,2016,2016/2017
West Bromwich Albion,Jake Livermore,27,Defensive Midfield,Hull City,£10.35m,in,Winter,10.35,Premier League,2016,2016/2017
Crystal Palace,Luka Milivojevic,25,Defensive Midfield,Olympiacos,£13.59m,in,Winter,13.59,Premier League,2016,2016/2017
Crystal Palace,Jeffrey Schlupp,24,Left Midfield,Leicester,£12.42m,in,Winter,12.42,Premier League,2016,2016/2017
Crystal Palace,Patrick van Aanholt,26,Left-Back,Sunderland,£9.45m,in,Winter,9.45,Premier League,2016,2016/2017
Sunderland AFC,Darron Gibson,29,Central Midfield,Everton,£2.25m,in,Winter,2.25,Premier League,2016,2016/2017
Sunderland AFC,Bryan Oviedo,26,Left-Back,Everton,£1.80m,in,Winter,1.8,Premier League,2016,2016/2017
Burnley FC,Robbie Brady,25,Left Midfield,Norwich,£13.59m,in,Winter,13.59,Premier League,2016,2016/2017
Burnley FC,Ashley Westwood,26,Defensive Midfield,Aston Villa,£5.22m,in,Winter,5.22,Premier League,2016,2016/2017
Middlesbrough FC,Rudy Gestede,28,Centre-Forward,Aston Villa,£6.39m,in,Winter,6.39,Premier League,2016,2016/2017
Middlesbrough FC,Patrick Bamford,23,Centre-Forward,Chelsea,£6.21m,in,Winter,6.21,Premier League,2016,2016/2017
Middlesbrough FC,Adlène Guédioura,31,Central Midfield,Watford,£4.68m,in,Winter,4.68,Premier League,2016,2016/2017
Hull City,Kamil Grosicki,28,Left Winger,Stade Rennais,£8.10m,in,Winter,8.1,Premier League,2016,2016/2017
Hull City,Markus Henriksen,24,Central Midfield,AZ Alkmaar,£4.77m,in,Winter,4.77,Premier League,2016,2016/2017
Hull City,Evandro,30,Attacking Midfield,FC Porto,£2.25m,in,Winter,2.25,Premier League,2016,2016/2017
Chelsea FC,Álvaro Morata,24,Centre-Forward,Real Madrid,£59.40m,in,Summer,59.4,Premier League,2017,2017/2018
Chelsea FC,Tiemoué Bakayoko,22,Defensive Midfield,Monaco,£36.00m,in,Summer,36.0,Premier League,2017,2017/2018
Chelsea FC,Danny Drinkwater,27,Central Midfield,Leicester,£34.11m,in,Summer,34.11,Premier League,2017,2017/2018
Chelsea FC,Antonio Rüdiger,24,Centre-Back,AS Roma,£31.50m,in,Summer,31.5,Premier League,2017,2017/2018
Chelsea FC,Davide Zappacosta,25,Right-Back,Torino,£22.50m,in,Summer,22.5,Premier League,2017,2017/2018
Chelsea FC,Ethan Ampadu,16,Centre-Back,Exeter City,£2.52m,in,Summer,2.52,Premier League,2017,2017/2018
Tottenham Hotspur,Davinson Sánchez,21,Centre-Back,Ajax,£36.00m,in,Summer,36.0,Premier League,2017,2017/2018
Tottenham Hotspur,Serge Aurier,24,Right-Back,Paris SG,£22.50m,in,Summer,22.5,Premier League,2017,2017/2018
Tottenham Hotspur,Fernando Llorente,32,Centre-Forward,Swansea,£13.59m,in,Summer,13.59,Premier League,2017,2017/2018
Tottenham Hotspur,Juan Foyth,19,Centre-Back,Estudiantes,£11.70m,in,Summer,11.7,Premier League,2017,2017/2018
Manchester City,Benjamin Mendy,23,Left-Back,Monaco,£51.75m,in,Summer,51.75,Premier League,2017,2017/2018
Manchester City,Kyle Walker,27,Right-Back,Spurs,£47.43m,in,Summer,47.43,Premier League,2017,2017/2018
Manchester City,Bernardo Silva,22,Right Winger,Monaco,£45.00m,in,Summer,45.0,Premier League,2017,2017/2018
Manchester City,Ederson,23,Goalkeeper,Benfica,£36.00m,in,Summer,36.0,Premier League,2017,2017/2018
Manchester City,Danilo,26,Right-Back,Real Madrid,£27.00m,in,Summer,27.0,Premier League,2017,2017/2018
Manchester City,Douglas Luiz,19,Defensive Midfield,Vasco da Gama,£10.80m,in,Summer,10.8,Premier League,2017,2017/2018
Manchester City,Olarenwaju Kayode,24,Centre-Forward,Austria Vienna,£3.42m,in,Summer,3.42,Premier League,2017,2017/2018
Manchester City,Luka Ilic,18,Attacking Midfield,Red Star,£2.25m,in,Summer,2.25,Premier League,2017,2017/2018
Liverpool FC,Mohamed Salah,25,Right Winger,AS Roma,£37.80m,in,Summer,37.8,Premier League,2017,2017/2018
Liverpool FC,Alex Oxlade-Chamberlain,24,Central Midfield,Arsenal,£34.20m,in,Summer,34.2,Premier League,2017,2017/2018
Liverpool FC,Andrew Robertson,23,Left-Back,Hull City,£8.10m,in,Summer,8.1,Premier League,2017,2017/2018
Arsenal FC,Alexandre Lacazette,26,Centre-Forward,Olympique Lyon,£47.70m,in,Summer,47.7,Premier League,2017,2017/2018
Manchester United,Romelu Lukaku,24,Centre-Forward,Everton,£76.23m,in,Summer,76.23,Premier League,2017,2017/2018
Manchester United,Nemanja Matic,28,Defensive Midfield,Chelsea,£40.23m,in,Summer,40.23,Premier League,2017,2017/2018
Manchester United,Victor Lindelöf,22,Centre-Back,Benfica,£31.50m,in,Summer,31.5,Premier League,2017,2017/2018
Everton FC,Gylfi Sigurdsson,27,Attacking Midfield,Swansea,£44.46m,in,Summer,44.46,Premier League,2017,2017/2018
Everton FC,Michael Keane,24,Centre-Back,Burnley,£25.65m,in,Summer,25.65,Premier League,2017,2017/2018
Everton FC,Jordan Pickford,23,Goalkeeper,Sunderland,£25.65m,in,Summer,25.65,Premier League,2017,2017/2018
Everton FC,Davy Klaassen,24,Central Midfield,Ajax,£24.30m,in,Summer,24.3,Premier League,2017,2017/2018
Everton FC,Nikola Vlasic,19,Attacking Midfield,Hajduk Split,£9.72m,in,Summer,9.72,Premier League,2017,2017/2018
Everton FC,Henry Onyekuru,20,Left Winger,KAS Eupen,£7.20m,in,Summer,7.2,Premier League,2017,2017/2018
Everton FC,Sandro Ramírez,21,Centre-Forward,Málaga CF,£5.40m,in,Summer,5.4,Premier League,2017,2017/2018
Southampton FC,Mario Lemina,23,Defensive Midfield,Juventus,£15.53m,in,Summer,15.53,Premier League,2017,2017/2018
Southampton FC,Wesley Hoedt,23,Centre-Back,Lazio,£14.40m,in,Summer,14.4,Premier League,2017,2017/2018
Southampton FC,Jan Bednarek,21,Centre-Back,Lech Poznan,£5.40m,in,Summer,5.4,Premier League,2017,2017/2018
AFC Bournemouth,Nathan Aké,22,Centre-Back,Chelsea,£20.52m,in,Summer,20.52,Premier League,2017,2017/2018
AFC Bournemouth,Asmir Begovic,30,Goalkeeper,Chelsea,£10.35m,in,Summer,10.35,Premier League,2017,2017/2018
West Bromwich Albion,Oliver Burke,20,Right Winger,RB Leipzig,£13.68m,in,Summer,13.68,Premier League,2017,2017/2018
West Bromwich Albion,Jay Rodríguez,27,Centre-Forward,Southampton,£12.33m,in,Summer,12.33,Premier League,2017,2017/2018
West Bromwich Albion,Kieran Gibbs,27,Left-Back,Arsenal,£6.75m,in,Summer,6.75,Premier League,2017,2017/2018
West Bromwich Albion,Yuning Zhang,20,Centre-Forward,Vitesse,£6.48m,in,Summer,6.48,Premier League,2017,2017/2018
West Ham United,Marko Arnautovic,28,Centre-Forward,Stoke City,£20.07m,in,Summer,20.07,Premier League,2017,2017/2018
West Ham United,Chicharito,29,Centre-Forward,Bay. Leverkusen,£16.02m,in,Summer,16.02,Premier League,2017,2017/2018
West Ham United,Sead Haksabanovic,18,Left Midfield,Halmstad,£2.70m,in,Summer,2.7,Premier League,2017,2017/2018
Leicester City,Kelechi Iheanacho,20,Centre-Forward,Man City,£24.93m,in,Summer,24.93,Premier League,2017,2017/2018
Leicester City,Adrien Silva,28,Central Midfield,Sporting CP,£22.50m,in,Summer,22.5,Premier League,2017,2017/2018
Leicester City,Vicente Iborra,29,Central Midfield,Sevilla FC,£13.50m,in,Summer,13.5,Premier League,2017,2017/2018
Leicester City,Harry Maguire,24,Centre-Back,Hull City,£12.33m,in,Summer,12.33,Premier League,2017,2017/2018
Leicester City,Eldin Jakupovic,32,Goalkeeper,Hull City,£2.07m,in,Summer,2.07,Premier League,2017,2017/2018
Stoke City,Kevin Wimmer,24,Centre-Back,Spurs,£17.46m,in,Summer,17.46,Premier League,2017,2017/2018
Stoke City,Bruno Martins Indi,25,Centre-Back,FC Porto,£6.93m,in,Summer,6.93,Premier League,2017,2017/2018
Crystal Palace,Mamadou Sakho,27,Centre-Back,Liverpool,£25.38m,in,Summer,25.38,Premier League,2017,2017/2018
Crystal Palace,Jairo Riedewald,20,Centre-Back,Ajax,£8.10m,in,Summer,8.1,Premier League,2017,2017/2018
Swansea City,Sam Clucas,26,Central Midfield,Hull City,£14.67m,in,Summer,14.67,Premier League,2017,2017/2018
Swansea City,Wilfried Bony,28,Centre-Forward,Man City,£11.70m,in,Summer,11.7,Premier League,2017,2017/2018
Swansea City,Roque Mesa,28,Central Midfield,UD Las Palmas,£11.25m,in,Summer,11.25,Premier League,2017,2017/2018
Burnley FC,Chris Wood,25,Centre-Forward,Leeds,£14.76m,in,Summer,14.76,Premier League,2017,2017/2018
Burnley FC,Jack Cork,28,Defensive Midfield,Swansea,£8.19m,in,Summer,8.19,Premier League,2017,2017/2018
Burnley FC,Nahki Wells,27,Centre-Forward,Huddersfield,£4.86m,in,Summer,4.86,Premier League,2017,2017/2018
Burnley FC,Jonathan Walters,33,Right Winger,Stoke City,£2.07m,in,Summer,2.07,Premier League,2017,2017/2018
Watford FC,Andre Gray,26,Centre-Forward,Burnley,£18.36m,in,Summer,18.36,Premier League,2017,2017/2018
Watford FC,Richarlison,20,Centre-Forward,Fluminense,£11.16m,in,Summer,11.16,Premier League,2017,2017/2018
Watford FC,Tom Cleverley,27,Central Midfield,Everton,£8.37m,in,Summer,8.37,Premier League,2017,2017/2018
Watford FC,Will Hughes,22,Central Midfield,Derby,£8.19m,in,Summer,8.19,Premier League,2017,2017/2018
Watford FC,Nathaniel Chalobah,22,Defensive Midfield,Chelsea,£5.67m,in,Summer,5.67,Premier League,2017,2017/2018
Watford FC,Marvin Zeegelaar,27,Left-Back,Sporting CP,£2.70m,in,Summer,2.7,Premier League,2017,2017/2018
Newcastle United,Jacob Murphy,22,Right Winger,Norwich,£10.17m,in,Summer,10.17,Premier League,2017,2017/2018
Newcastle United,Florian Lejeune,26,Centre-Back,SD Eibar,£9.00m,in,Summer,9.0,Premier League,2017,2017/2018
Newcastle United,Christian Atsu,25,Left Winger,Chelsea,£6.75m,in,Summer,6.75,Premier League,2017,2017/2018
Newcastle United,Joselu,27,Centre-Forward,Stoke City,£4.95m,in,Summer,4.95,Premier League,2017,2017/2018
Newcastle United,Javier Manquillo,23,Right-Back,Atlético Madrid,£4.50m,in,Summer,4.5,Premier League,2017,2017/2018
Brighton & Hove Albion,José Izquierdo,25,Left Winger,Club Brugge,£13.50m,in,Summer,13.5,Premier League,2017,2017/2018
Brighton & Hove Albion,Davy Pröpper,25,Central Midfield,PSV Eindhoven,£11.70m,in,Summer,11.7,Premier League,2017,2017/2018
Brighton & Hove Albion,Mathew Ryan,25,Goalkeeper,Valencia,£5.40m,in,Summer,5.4,Premier League,2017,2017/2018
Brighton & Hove Albion,Markus Suttner,30,Left-Back,FC Ingolstadt,£4.05m,in,Summer,4.05,Premier League,2017,2017/2018
Brighton & Hove Albion,Ezequiel Schelotto,28,Right-Back,Sporting CP,£2.70m,in,Summer,2.7,Premier League,2017,2017/2018
Brighton & Hove Albion,Pascal Groß,26,Attacking Midfield,FC Ingolstadt,£2.70m,in,Summer,2.7,Premier League,2017,2017/2018
Brighton & Hove Albion,Ales Mateju,21,Right-Back,Viktoria Plzen,£2.25m,in,Summer,2.25,Premier League,2017,2017/2018
Brighton & Hove Albion,Mathias Normann,21,Central Midfield,Bodø/Glimt,£1.26m,in,Summer,1.26,Premier League,2017,2017/2018
Huddersfield Town,Steve Mounié,22,Centre-Forward,Montpellier,£11.70m,in,Summer,11.7,Premier League,2017,2017/2018
Huddersfield Town,Aaron Mooy,26,Central Midfield,Man City,£8.19m,in,Summer,8.19,Premier League,2017,2017/2018
Huddersfield Town,Tom Ince,25,Right Winger,Derby,£8.19m,in,Summer,8.19,Premier League,2017,2017/2018
Huddersfield Town,Scott Malone,26,Left-Back,Fulham,£3.51m,in,Summer,3.51,Premier League,2017,2017/2018
Huddersfield Town,Laurent Depoitre,28,Centre-Forward,FC Porto,£3.42m,in,Summer,3.42,Premier League,2017,2017/2018
Huddersfield Town,Zanka,27,Centre-Back,FC Copenhagen,£2.43m,in,Summer,2.43,Premier League,2017,2017/2018
Huddersfield Town,Abdelhamid Sabiri,20,Attacking Midfield,1.FC Nuremberg,£1.35m,in,Summer,1.35,Premier League,2017,2017/2018
Huddersfield Town,Elias Kachunga,25,Centre-Forward,FC Ingolstadt,£1.17m,in,Summer,1.17,Premier League,2017,2017/2018
Chelsea FC,Emerson,23,Left-Back,AS Roma,£18.00m,in,Winter,18.0,Premier League,2017,2017/2018
Chelsea FC,Olivier Giroud,31,Centre-Forward,Arsenal,£15.30m,in,Winter,15.3,Premier League,2017,2017/2018
Chelsea FC,Ross Barkley,24,Central Midfield,Everton,£15.12m,in,Winter,15.12,Premier League,2017,2017/2018
Tottenham Hotspur,Lucas Moura,25,Right Winger,Paris SG,£25.56m,in,Winter,25.56,Premier League,2017,2017/2018
Manchester City,Aymeric Laporte,23,Centre-Back,Athletic,£58.50m,in,Winter,58.5,Premier League,2017,2017/2018
Manchester City,Jack Harrison,21,Left Winger,NYCFC,£3.60m,in,Winter,3.6,Premier League,2017,2017/2018
Liverpool FC,Virgil van Dijk,26,Centre-Back,Southampton,£76.19m,in,Winter,76.19,Premier League,2017,2017/2018
Arsenal FC,Pierre-Emerick Aubameyang,28,Centre-Forward,Bor. Dortmund,£57.38m,in,Winter,57.38,Premier League,2017,2017/2018
Arsenal FC,Henrikh Mkhitaryan,29,Attacking Midfield,Man Utd,£30.60m,in,Winter,30.6,Premier League,2017,2017/2018
Arsenal FC,Konstantinos Mavropanos,20,Centre-Back,PAS Giannina,£1.89m,in,Winter,1.89,Premier League,2017,2017/2018
Manchester United,Alexis Sánchez,29,Centre-Forward,Arsenal,£30.60m,in,Winter,30.6,Premier League,2017,2017/2018
Everton FC,Cenk Tosun,26,Centre-Forward,Besiktas,£20.25m,in,Winter,20.25,Premier League,2017,2017/2018
Everton FC,Theo Walcott,28,Right Winger,Arsenal,£20.25m,in,Winter,20.25,Premier League,2017,2017/2018
Southampton FC,Guido Carrillo,26,Centre-Forward,Monaco,£19.80m,in,Winter,19.8,Premier League,2017,2017/2018
West Bromwich Albion,Ahmed Hegazy,26,Centre-Back,El Ahly,£4.50m,in,Winter,4.5,Premier League,2017,2017/2018
West Ham United,Jordan Hugill,25,Centre-Forward,Preston NE,£9.18m,in,Winter,9.18,Premier League,2017,2017/2018
Leicester City,Fousseni Diabaté,22,Right Winger,G. Ajaccio,£1.80m,in,Winter,1.8,Premier League,2017,2017/2018
Stoke City,Badou Ndiaye,27,Central Midfield,Galatasaray,£14.40m,in,Winter,14.4,Premier League,2017,2017/2018
Stoke City,Moritz Bauer,25,Right-Back,Rubin Kazan,£5.58m,in,Winter,5.58,Premier League,2017,2017/2018
Crystal Palace,Alexander Sörloth,22,Centre-Forward,FC Midtjylland,£8.10m,in,Winter,8.1,Premier League,2017,2017/2018
